table,metric,value
support.AuditRecords,operation:addSupportCaseInternalNote:COMMITTED,1
support.AuditRecords,operation:addSupportCaseReply:COMMITTED,1
support.AuditRecords,operation:assignSupportCase:COMMITTED,1
support.AuditRecords,operation:createSupportCase:COMMITTED,2
support.AuditRecords,operation:getSupportCase:READ,3
support.AuditRecords,operation:listSupportCases:READ,5
support.AuditRecords,operation:replaceSupportCaseProfile:COMMITTED,2
support.AuditRecords,operation:transitionSupportCase:COMMITTED,6
support.AuditRecords,rowCount,21
support.IdempotencyRecords,rowCount,13
support.OutboxMessages,eventType:SUPPORT_CASE_ASSIGNED,1
support.OutboxMessages,eventType:SUPPORT_CASE_CREATED,2
support.OutboxMessages,eventType:SUPPORT_CASE_INTERNAL_NOTE_ADDED,1
support.OutboxMessages,eventType:SUPPORT_CASE_PROFILE_REPLACED,2
support.OutboxMessages,eventType:SUPPORT_CASE_REPLY_ADDED,1
support.OutboxMessages,eventType:SUPPORT_CASE_STATUS_CHANGED,6
support.OutboxMessages,rowCount,13
support.SupportCaseComments,rowCount,2
support.SupportCaseComments,type:1:internal=0,1
support.SupportCaseComments,type:2:internal=1,1
support.SupportCases,caseNumbers,CASE-2026-0001 CASE-2026-0002
support.SupportCases,distinctWorkspaces,1
support.SupportCases,rowCount,2
